Liability / Asset,Currency of Issue (all figures in AUD equivalent),Category,Instrument,date,value
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2003-06-30,-49807298082
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2003-07-31,-50134499617
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2003-08-31,-44844961617
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2003-09-30,-45143961617
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2003-10-31,-45143961617
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2003-11-30,-45434063617
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2003-12-31,-45434063617
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-01-31,-45734063617
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-02-29,-45721342422
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-03-31,-46020334422
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-04-30,-46020334422
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-05-31,-46636955348
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-06-30,-47736930048
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-07-31,-48736930048
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-08-31,-49135930048
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-09-30,-44582238848
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-10-31,-44883238848
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-11-30,-45182238848
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-12-31,-45182217348
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-01-31,-45981217348
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-02-28,-46983217348
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-03-31,-47383188348
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-04-30,-47782188348
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-05-31,-48081188348
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-06-30,-48382676348
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-07-31,-44147966000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-08-31,-44946966000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-09-30,-45247966000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-10-31,-45647966000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-11-30,-45947966000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-12-31,-46546966000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-01-31,-47346466000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-02-28,-46801295000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-03-31,-47202295000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-04-30,-47602295000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-05-31,-48003295000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-06-30,-48003295000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-07-31,-48403295000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-08-31,-48803295000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-09-30,-49202295000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-10-31,-50002295000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-11-30,-44297443000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-12-31,-45097443000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-01-31,-45697443000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-02-28,-46098443000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-03-31,-46498443000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-04-30,-46899443000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-05-31,-47199443000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-06-30,-47199443000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-07-31,-47199443000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-08-31,-48000443000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-09-30,-49400443000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-10-31,-46895141000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-11-30,-47595141000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-12-31,-47995141000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-01-31,-48295141000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-02-29,-48694141000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-03-31,-48694141000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-04-30,-48994141000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-05-31,-48994141000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-06-30,-49395141000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-07-31,-50145141000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-08-31,-46401136000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-09-30,-47954136000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-10-31,-50005136000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-11-30,-50803136000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-12-31,-51802136000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-01-31,-53052136000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-02-28,-56054136000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-03-31,-61356136000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-04-30,-66656136000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-05-31,-72307136000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-06-30,-78403136000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-07-31,-82501136000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-08-31,-88001136000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-09-30,-86293087000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-10-31,-88893087000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-11-30,-94193087000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-12-31,-96795087000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2010-01-31,-99195087000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2010-02-28,-104545087000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2010-03-31,-110445087000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2010-04-30,-115195087000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2010-05-31,-121045087000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2010-06-30,-124695087000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2010-07-31,-128795087000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2010-08-31,-125891587000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2010-09-30,-131441587000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2010-10-31,-136391587000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2010-11-30,-141541587000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2010-12-31,-144091587000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2011-01-31,-146891587000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2011-02-28,-151691587000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2011-03-31,-156491587000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2011-04-30,-160791587000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2011-05-31,-166391587000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2011-06-30,-161242900000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2011-07-31,-166692900000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2011-08-31,-173292900000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2011-09-30,-178842900000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2011-10-31,-187152900000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2011-11-30,-193452900000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2011-12-31,-196252900000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2012-01-31,-194502900000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2012-02-29,-200052900000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2012-03-31,-204742900000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2012-04-30,-195987900000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2012-05-31,-200887900000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2012-06-30,-205387900000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2012-07-31,-207987900000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2012-08-31,-212787900000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2012-09-30,-216387900000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2012-10-31,-223447900000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2012-11-30,-219347900000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2012-12-31,-223147900000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2013-01-31,-223147900000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2013-02-28,-227947900000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2013-03-31,-232147900000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2013-04-30,-236437900000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2013-05-31,-227939500000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2013-06-30,-233539500000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2013-07-31,-238439500000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2013-08-31,-244739500000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2013-09-30,-251939500000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2013-10-31,-256988951000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2013-11-30,-268488951000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2013-12-31,-265939500000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2014-01-31,-269039500000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2014-02-28,-275439492000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2014-03-31,-288538969000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2014-04-30,-293036977350
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2014-05-31,-298636066000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2014-06-30,-290936151000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2014-07-31,-296035984000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2014-08-31,-301735984000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2014-09-30,-308035377000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2014-10-31,-308034360000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2014-11-30,-312833852000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2014-12-31,-316433164000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2015-01-31,-319232914000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2015-02-28,-324132709000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2015-03-31,-330509841000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2015-04-30,-324486233000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2015-05-31,-328386232000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2015-06-30,-335186219000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2015-07-31,-341186219000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2015-08-31,-348886214000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2015-09-30,-356485994000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2015-10-31,-355887345000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2015-11-30,-362987343000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2015-12-31,-364187336000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2016-01-31,-371287333000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2016-02-29,-375187333000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2016-03-31,-382487286000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2016-04-30,-389587268000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2016-05-31,-403087218000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2016-06-30,-385219783000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2016-07-31,-392919783000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2016-08-31,-397040613000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2016-09-30,-404440613000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2016-10-31,-416640511000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2016-11-30,-424740511000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2016-12-31,-429740511000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2017-01-31,-438873261000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2017-02-28,-431244956000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2017-03-31,-447344956000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2017-04-30,-451844926000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2017-05-31,-458243816000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2017-06-30,-464043805000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2017-07-31,-454778233000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2017-08-31,-461078233000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2017-09-30,-462678233000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2017-10-31,-467690247000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2017-11-30,-474289955000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2017-12-31,-478589955000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2018-01-31,-474284057000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2018-02-28,-477784057000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2018-03-31,-481283953000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2018-04-30,-484783950000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2018-05-31,-489483950000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2018-06-30,-493183934000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2018-07-31,-492185108000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2018-08-31,-494184971000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2018-09-30,-497684971000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2018-10-31,-492059769000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2018-11-30,-497059769000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2018-12-31,-499059769000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2019-01-31,-499959769000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2019-02-28,-503459769000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2019-03-31,-493449517000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2019-04-30,-494749517000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2019-05-31,-499949517000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2019-06-30,-502249285000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2019-07-31,-505449285000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2019-08-31,-509149285000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2019-09-30,-512349285000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2019-10-31,-501016967000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2019-11-30,-505416967000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2019-12-31,-507916827000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2020-01-31,-512116827000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2020-02-29,-518216825000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2020-03-31,-519916825000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2020-04-30,-529655109000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2020-05-31,-568155109000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2020-06-30,-587155109000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2020-07-31,-617155109000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2020-08-31,-645655109000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2020-09-30,-701655109000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2020-10-31,-716655109000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2020-11-30,-715934109000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2020-12-31,-722934109000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2021-01-31,-725433590000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2021-02-28,-737433590000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2021-03-31,-743433590000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2021-04-30,-763433590000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2021-05-31,-745609785000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2021-06-30,-750909775000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2021-07-31,-756709775000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2021-08-31,-763909775000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2021-09-30,-771409775000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2021-10-31,-779909750000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2021-11-30,-790209750000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2021-12-31,-778811750000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2022-01-31,-783811750000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2022-02-28,-793311750000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2022-03-31,-802511750000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2022-04-30,-819811750000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2022-05-31,-825811750000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2022-06-30,-830511750000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2022-07-31,-810549077000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2022-08-31,-818149077000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2022-09-30,-823849077000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2022-10-31,-829349077000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2022-11-30,-821949077000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2022-12-31,-824849077000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2023-01-31,-824849077000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2023-02-28,-830849077000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2023-03-31,-836349077000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2023-04-30,-818249369000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2023-05-31,-821349369000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2023-06-30,-823849369000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2023-07-31,-826049369000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2023-08-31,-829349369000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2003-06-30,-6551793000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2003-07-31,-6551793000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2003-08-31,-6551793000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2003-09-30,-6551793000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2003-10-31,-6551793000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2003-11-30,-6551793000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2003-12-31,-6551793000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2004-01-31,-6551793000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2004-02-29,-6551793000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2004-03-31,-6551793000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2004-04-30,-6551793000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2004-05-31,-6551793000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2004-06-30,-6551793000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2004-07-31,-6551793000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2004-08-31,-6551793000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2004-09-30,-6551793000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2004-10-31,-6551793000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2004-11-30,-6551793000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2004-12-31,-6551793000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2005-01-31,-6551793000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2005-02-28,-6551793000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2005-03-31,-6551793000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2005-04-30,-6551793000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2005-05-31,-6551793000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2005-06-30,-6551793000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2005-07-31,-6551793000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2005-08-31,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2005-09-30,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2005-10-31,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2005-11-30,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2005-12-31,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2006-01-31,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2006-02-28,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2006-03-31,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2006-04-30,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2006-05-31,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2006-06-30,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2006-07-31,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2006-08-31,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2006-09-30,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2006-10-31,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2006-11-30,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2006-12-31,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2007-01-31,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2007-02-28,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2007-03-31,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2007-04-30,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2007-05-31,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2007-06-30,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2007-07-31,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2007-08-31,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2007-09-30,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2007-10-31,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2007-11-30,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2007-12-31,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2008-01-31,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2008-02-29,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2008-03-31,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2008-04-30,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2008-05-31,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2008-06-30,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2008-07-31,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2008-08-31,-6020000000
